"timeMillisSpent","score"
37632,"0hard/-90soft"
37705,"0hard/-87soft"
37775,"0hard/-87soft"
37853,"0hard/-87soft"
37952,"0hard/-87soft"
38103,"0hard/-87soft"
38256,"0hard/-87soft"
38355,"0hard/-88soft"
38453,"0hard/-87soft"
38609,"0hard/-87soft"
38763,"0hard/-88soft"
38939,"0hard/-90soft"
39063,"0hard/-88soft"
39156,"0hard/-88soft"
39280,"0hard/-88soft"
39423,"0hard/-88soft"
39603,"0hard/-88soft"
39786,"0hard/-88soft"
39949,"0hard/-89soft"
40044,"0hard/-88soft"
40230,"0hard/-88soft"
40411,"0hard/-92soft"
40565,"0hard/-88soft"
40664,"0hard/-89soft"
40762,"0hard/-89soft"
40868,"0hard/-89soft"
40995,"0hard/-89soft"
41160,"0hard/-89soft"
41378,"0hard/-89soft"
41540,"0hard/-90soft"
41666,"0hard/-89soft"
41841,"0hard/-89soft"
42007,"0hard/-91soft"
42180,"0hard/-89soft"
42296,"0hard/-90soft"
42395,"0hard/-90soft"
42521,"0hard/-90soft"
42644,"0hard/-90soft"
42809,"0hard/-90soft"
42984,"0hard/-90soft"
43165,"0hard/-91soft"
43266,"0hard/-90soft"
43422,"0hard/-90soft"
43609,"0hard/-92soft"
43770,"0hard/-90soft"
43870,"0hard/-95soft"
43964,"0hard/-95soft"
44094,"0hard/-95soft"
44211,"0hard/-95soft"
44365,"0hard/-95soft"
44517,"-1hard/-68soft"
44676,"0hard/-95soft"
44775,"0hard/-94soft"
44931,"0hard/-94soft"
45098,"0hard/-93soft"
45272,"-1hard/-92soft"
45370,"-1hard/-95soft"
45472,"-1hard/-95soft"
45581,"-1hard/-95soft"
45657,"-1hard/-95soft"
45759,"-1hard/-95soft"
45855,"0hard/-93soft"
46008,"0hard/-93soft"
46120,"0hard/-94soft"
46223,"0hard/-93soft"
46387,"0hard/-93soft"
46571,"0hard/-95soft"
46695,"0hard/-93soft"
46789,"0hard/-93soft"
46949,"0hard/-93soft"
47074,"-1hard/-93soft"
47237,"-1hard/-93soft"
47341,"-1hard/-96soft"
47491,"-1hard/-96soft"
47654,"-1hard/-93soft"
47778,"-1hard/-97soft"
47950,"-1hard/-97soft"
48145,"-1hard/-93soft"
48253,"-1hard/-98soft"
48355,"-1hard/-98soft"
48520,"-1hard/-98soft"
48621,"-1hard/-98soft"
48779,"-1hard/-98soft"
48878,"-1hard/-93soft"
49041,"-1hard/-93soft"
49204,"-1hard/-88soft"
49303,"-1hard/-92soft"
49502,"0hard/-92soft"
49680,"0hard/-88soft"
49781,"-1hard/-60soft"
49914,"-1hard/-60soft"
50086,"-1hard/-60soft"
50184,"-1hard/-99soft"
50342,"-1hard/-99soft"
50447,"-1hard/-101soft"
50616,"-1hard/-101soft"
50784,"0hard/-91soft"
50897,"0hard/-89soft"
51068,"0hard/-89soft"
51254,"0hard/-88soft"
