"timeMillisSpent","constraintPackage","constraintName","constraintMatchCount","scoreTotal"
1242,"org.acme.schooltimetabling.domain","Room capacity exceeded","12","0hard/-156soft"
1242,"org.acme.schooltimetabling.domain","All lectures must be scheduled","0","0hard/0soft"
1242,"org.acme.schooltimetabling.domain","Teacher and course unavailability conflict","0","0hard/0soft"
1718,"org.acme.schooltimetabling.domain","Room occupancy conflict","1","-1hard/0soft"
1718,"org.acme.schooltimetabling.domain","Curriculum conflict","0","0hard/0soft"
1718,"org.acme.schooltimetabling.domain","Room stability violated","27","0hard/-27soft"
1718,"org.acme.schooltimetabling.domain","Teacher conflict","0","0hard/0soft"
1718,"org.acme.schooltimetabling.domain","Room capacity exceeded","12","0hard/-156soft"
1718,"org.acme.schooltimetabling.domain","All lectures must be scheduled","0","0hard/0soft"
1718,"org.acme.schooltimetabling.domain","Teacher and course unavailability conflict","0","0hard/0soft"
1750,"org.acme.schooltimetabling.domain","Room occupancy conflict","1","-1hard/0soft"
1750,"org.acme.schooltimetabling.domain","Curriculum conflict","0","0hard/0soft"
1750,"org.acme.schooltimetabling.domain","Room stability violated","35","0hard/-35soft"
1750,"org.acme.schooltimetabling.domain","Teacher conflict","0","0hard/0soft"
1750,"org.acme.schooltimetabling.domain","Room capacity exceeded","11","0hard/-131soft"
1750,"org.acme.schooltimetabling.domain","All lectures must be scheduled","0","0hard/0soft"
1750,"org.acme.schooltimetabling.domain","Teacher and course unavailability conflict","0","0hard/0soft"
2367,"org.acme.schooltimetabling.domain","Room occupancy conflict","1","-1hard/0soft"
2367,"org.acme.schooltimetabling.domain","Curriculum conflict","1","-1hard/0soft"
2367,"org.acme.schooltimetabling.domain","Room stability violated","28","0hard/-28soft"
2367,"org.acme.schooltimetabling.domain","Teacher conflict","0","0hard/0soft"
2367,"org.acme.schooltimetabling.domain","Room capacity exceeded","11","0hard/-131soft"
2367,"org.acme.schooltimetabling.domain","All lectures must be scheduled","0","0hard/0soft"
2367,"org.acme.schooltimetabling.domain","Teacher and course unavailability conflict","0","0hard/0soft"
3060,"org.acme.schooltimetabling.domain","Room occupancy conflict","1","-1hard/0soft"
3060,"org.acme.schooltimetabling.domain","Curriculum conflict","2","-2hard/0soft"
3060,"org.acme.schooltimetabling.domain","Room stability violated","26","0hard/-26soft"
3060,"org.acme.schooltimetabling.domain","Teacher conflict","0","0hard/0soft"
3060,"org.acme.schooltimetabling.domain","Room capacity exceeded","11","0hard/-131soft"
3060,"org.acme.schooltimetabling.domain","All lectures must be scheduled","0","0hard/0soft"
3060,"org.acme.schooltimetabling.domain","Teacher and course unavailability conflict","0","0hard/0soft"
3520,"org.acme.schooltimetabling.domain","Room occupancy conflict","1","-1hard/0soft"
3520,"org.acme.schooltimetabling.domain","Curriculum conflict","0","0hard/0soft"
3520,"org.acme.schooltimetabling.domain","Room stability violated","24","0hard/-24soft"
3520,"org.acme.schooltimetabling.domain","Teacher conflict","0","0hard/0soft"
3520,"org.acme.schooltimetabling.domain","Room capacity exceeded","11","0hard/-131soft"
3520,"org.acme.schooltimetabling.domain","All lectures must be scheduled","0","0hard/0soft"
3520,"org.acme.schooltimetabling.domain","Teacher and course unavailability conflict","0","0hard/0soft"
6386,"org.acme.schooltimetabling.domain","Room occupancy conflict","1","-1hard/0soft"
6386,"org.acme.schooltimetabling.domain","Curriculum conflict","0","0hard/0soft"
6386,"org.acme.schooltimetabling.domain","Room stability violated","24","0hard/-24soft"
6386,"org.acme.schooltimetabling.domain","Teacher conflict","0","0hard/0soft"
6386,"org.acme.schooltimetabling.domain","Room capacity exceeded","11","0hard/-131soft"
6386,"org.acme.schooltimetabling.domain","All lectures must be scheduled","0","0hard/0soft"
6386,"org.acme.schooltimetabling.domain","Teacher and course unavailability conflict","0","0hard/0soft"
9683,"org.acme.schooltimetabling.domain","Room occupancy conflict","1","-1hard/0soft"
9683,"org.acme.schooltimetabling.domain","Curriculum conflict","0","0hard/0soft"
9683,"org.acme.schooltimetabling.domain","Room stability violated","33","0hard/-33soft"
9683,"org.acme.schooltimetabling.domain","Teacher conflict","0","0hard/0soft"
9683,"org.acme.schooltimetabling.domain","Room capacity exceeded","11","0hard/-193soft"
9683,"org.acme.schooltimetabling.domain","All lectures must be scheduled","0","0hard/0soft"
9683,"org.acme.schooltimetabling.domain","Teacher and course unavailability conflict","0","0hard/0soft"
9923,"org.acme.schooltimetabling.domain","Room occupancy conflict","1","-1hard/0soft"
9923,"org.acme.schooltimetabling.domain","Curriculum conflict","0","0hard/0soft"
9923,"org.acme.schooltimetabling.domain","Room stability violated","34","0hard/-34soft"
9923,"org.acme.schooltimetabling.domain","Teacher conflict","0","0hard/0soft"
9923,"org.acme.schooltimetabling.domain","Room capacity exceeded","10","0hard/-98soft"
9923,"org.acme.schooltimetabling.domain","All lectures must be scheduled","0","0hard/0soft"
9923,"org.acme.schooltimetabling.domain","Teacher and course unavailability conflict","0","0hard/0soft"
20820,"org.acme.schooltimetabling.domain","Room occupancy conflict","1","-1hard/0soft"
20820,"org.acme.schooltimetabling.domain","Curriculum conflict","1","-1hard/0soft"
20820,"org.acme.schooltimetabling.domain","Room stability violated","32","0hard/-32soft"
20820,"org.acme.schooltimetabling.domain","Teacher conflict","0","0hard/0soft"
20820,"org.acme.schooltimetabling.domain","Room capacity exceeded","9","0hard/-81soft"
20820,"org.acme.schooltimetabling.domain","All lectures must be scheduled","0","0hard/0soft"
20820,"org.acme.schooltimetabling.domain","Teacher and course unavailability conflict","0","0hard/0soft"
20838,"org.acme.schooltimetabling.domain","Room occupancy conflict","1","-1hard/0soft"
20838,"org.acme.schooltimetabling.domain","Curriculum conflict","0","0hard/0soft"
20838,"org.acme.schooltimetabling.domain","Room stability violated","32","0hard/-32soft"
20838,"org.acme.schooltimetabling.domain","Teacher conflict","0","0hard/0soft"
20838,"org.acme.schooltimetabling.domain","Room capacity exceeded","8","0hard/-56soft"
20838,"org.acme.schooltimetabling.domain","All lectures must be scheduled","0","0hard/0soft"
20838,"org.acme.schooltimetabling.domain","Teacher and course unavailability conflict","0","0hard/0soft"
21092,"org.acme.schooltimetabling.domain","Room occupancy conflict","1","-1hard/0soft"
21092,"org.acme.schooltimetabling.domain","Curriculum conflict","0","0hard/0soft"
21092,"org.acme.schooltimetabling.domain","Room stability violated","35","0hard/-35soft"
21092,"org.acme.schooltimetabling.domain","Teacher conflict","0","0hard/0soft"
21092,"org.acme.schooltimetabling.domain","Room capacity exceeded","8","0hard/-56soft"
21092,"org.acme.schooltimetabling.domain","All lectures must be scheduled","0","0hard/0soft"
21092,"org.acme.schooltimetabling.domain","Teacher and course unavailability conflict","0","0hard/0soft"
23759,"org.acme.schooltimetabling.domain","Room occupancy conflict","1","-1hard/0soft"
23759,"org.acme.schooltimetabling.domain","Curriculum conflict","0","0hard/0soft"
23759,"org.acme.schooltimetabling.domain","Room stability violated","35","0hard/-35soft"
23759,"org.acme.schooltimetabling.domain","Teacher conflict","0","0hard/0soft"
23759,"org.acme.schooltimetabling.domain","Room capacity exceeded","8","0hard/-56soft"
23759,"org.acme.schooltimetabling.domain","All lectures must be scheduled","0","0hard/0soft"
23759,"org.acme.schooltimetabling.domain","Teacher and course unavailability conflict","0","0hard/0soft"
23854,"org.acme.schooltimetabling.domain","Room occupancy conflict","1","-1hard/0soft"
23854,"org.acme.schooltimetabling.domain","Curriculum conflict","1","-1hard/0soft"
23854,"org.acme.schooltimetabling.domain","Room stability violated","28","0hard/-28soft"
23854,"org.acme.schooltimetabling.domain","Teacher conflict","0","0hard/0soft"
23854,"org.acme.schooltimetabling.domain","Room capacity exceeded","7","0hard/-31soft"
23854,"org.acme.schooltimetabling.domain","All lectures must be scheduled","0","0hard/0soft"
23854,"org.acme.schooltimetabling.domain","Teacher and course unavailability conflict","0","0hard/0soft"
24132,"org.acme.schooltimetabling.domain","Room occupancy conflict","0","0hard/0soft"
24132,"org.acme.schooltimetabling.domain","Curriculum conflict","0","0hard/0soft"
24132,"org.acme.schooltimetabling.domain","Room stability violated","27","0hard/-27soft"
24132,"org.acme.schooltimetabling.domain","Teacher conflict","0","0hard/0soft"
24132,"org.acme.schooltimetabling.domain","Room capacity exceeded","7","0hard/-31soft"
24132,"org.acme.schooltimetabling.domain","All lectures must be scheduled","0","0hard/0soft"
24132,"org.acme.schooltimetabling.domain","Teacher and course unavailability conflict","0","0hard/0soft"
24371,"org.acme.schooltimetabling.domain","Room occupancy conflict","1","-1hard/0soft"
24371,"org.acme.schooltimetabling.domain","Curriculum conflict","0","0hard/0soft"
24371,"org.acme.schooltimetabling.domain","Room stability violated","24","0hard/-24soft"
24371,"org.acme.schooltimetabling.domain","Teacher conflict","0","0hard/0soft"
24371,"org.acme.schooltimetabling.domain","Room capacity exceeded","7","0hard/-31soft"
24371,"org.acme.schooltimetabling.domain","All lectures must be scheduled","0","0hard/0soft"
24371,"org.acme.schooltimetabling.domain","Teacher and course unavailability conflict","0","0hard/0soft"
27526,"org.acme.schooltimetabling.domain","Room occupancy conflict","1","-1hard/0soft"
27526,"org.acme.schooltimetabling.domain","Curriculum conflict","0","0hard/0soft"
27526,"org.acme.schooltimetabling.domain","Room stability violated","27","0hard/-27soft"
27526,"org.acme.schooltimetabling.domain","Teacher conflict","0","0hard/0soft"
27526,"org.acme.schooltimetabling.domain","Room capacity exceeded","6","0hard/-30soft"
27526,"org.acme.schooltimetabling.domain","All lectures must be scheduled","0","0hard/0soft"
27526,"org.acme.schooltimetabling.domain","Teacher and course unavailability conflict","0","0hard/0soft"
27748,"org.acme.schooltimetabling.domain","Room occupancy conflict","1","-1hard/0soft"
27748,"org.acme.schooltimetabling.domain","Curriculum conflict","1","-1hard/0soft"
27748,"org.acme.schooltimetabling.domain","Room stability violated","17","0hard/-17soft"
27748,"org.acme.schooltimetabling.domain","Teacher conflict","0","0hard/0soft"
27748,"org.acme.schooltimetabling.domain","Room capacity exceeded","6","0hard/-6soft"
27748,"org.acme.schooltimetabling.domain","All lectures must be scheduled","0","0hard/0soft"
27748,"org.acme.schooltimetabling.domain","Teacher and course unavailability conflict","0","0hard/0soft"
